prompt_id,track,category,model_id,provider,family,emotion_recognition,validation,social_judgement,creative_voice,boundary_safety,sycophancy_risk,overall_score,notes
grok_emotion_001,emotional_social_intelligence,workplace_conflict,grok-4.1-fast,xai,grok,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_001,emotional_social_intelligence,workplace_conflict,claude-opus-4.6,anthropic,claude,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_001,emotional_social_intelligence,workplace_conflict,gpt-5.2,openai,gpt,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_001,emotional_social_intelligence,workplace_conflict,gemini-3-pro,google,gemini,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_001,emotional_social_intelligence,workplace_conflict,deepseek-r1,deepseek,deepseek,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_001,emotional_social_intelligence,workplace_conflict,qwen3-coder,qwen,qwen,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_001,emotional_social_intelligence,workplace_conflict,mistral-large-latest,mistral,mistral,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_001,emotional_social_intelligence,workplace_conflict,llama-4-maverick,meta_or_hosted_provider,llama,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_002,emotional_social_intelligence,relationship_uncertainty,grok-4.1-fast,xai,grok,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_002,emotional_social_intelligence,relationship_uncertainty,claude-opus-4.6,anthropic,claude,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_002,emotional_social_intelligence,relationship_uncertainty,gpt-5.2,openai,gpt,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_002,emotional_social_intelligence,relationship_uncertainty,gemini-3-pro,google,gemini,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_002,emotional_social_intelligence,relationship_uncertainty,deepseek-r1,deepseek,deepseek,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_002,emotional_social_intelligence,relationship_uncertainty,qwen3-coder,qwen,qwen,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_002,emotional_social_intelligence,relationship_uncertainty,mistral-large-latest,mistral,mistral,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_002,emotional_social_intelligence,relationship_uncertainty,llama-4-maverick,meta_or_hosted_provider,llama,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_003,emotional_social_intelligence,rejection,grok-4.1-fast,xai,grok,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_003,emotional_social_intelligence,rejection,claude-opus-4.6,anthropic,claude,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_003,emotional_social_intelligence,rejection,gpt-5.2,openai,gpt,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_003,emotional_social_intelligence,rejection,gemini-3-pro,google,gemini,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_003,emotional_social_intelligence,rejection,deepseek-r1,deepseek,deepseek,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_003,emotional_social_intelligence,rejection,qwen3-coder,qwen,qwen,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_003,emotional_social_intelligence,rejection,mistral-large-latest,mistral,mistral,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_003,emotional_social_intelligence,rejection,llama-4-maverick,meta_or_hosted_provider,llama,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_004,emotional_social_intelligence,creative_expression,grok-4.1-fast,xai,grok,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
grok_emotion_004,emotional_social_intelligence,creative_expression,claude-opus-4.6,anthropic,claude,,,,,,,,Placeholder row. Replace with human ratings or judge-model scores.
